ulasan,rating,nilai
"B coinnya lama naik malah turn terus jadi merugi,setiap kali trading ga pernah berhasil",3,NEGATIF
Sangat bagus,5,POSITIF
Mantap banget,5,POSITIF
Bagus,5,POSITIF
Saving Dana Crypto... Semoga semakin baik kedepannya..👍👍,5,POSITIF
saya sudah Kirim email perihal riset GAuth dengan syarat foto selfie dengan identitas namun belom ada respon sama sekali,3,NEGATIF
woyy pintu kenapa saya mengirim aset tidak masuk,1,NEGATIF
Aplikasi mantap. Gak nyesel ikut pintu,5,POSITIF
Best,5,POSITIF
Sangat bagus,5,POSITIF
Buat menu staking dong,5,POSITIF
Aplikasinya terlalu berat... Masukan . segera luncurkan versi lite saja biar trading nya nyaman dan enteng . mkasih,5,POSITIF
Ga ribet pokonya sangat membantu di masa seperti ini,5,POSITIF
Ok,5,POSITIF
Eror login??? Why?,5,POSITIF
Mantap aplikasinya,5,POSITIF
"Aplikasi bagus,banyak reward rewardnya",5,POSITIF
Verivikasi gogel lama,2,NEGATIF
Good,5,POSITIF
Buset,5,POSITIF
"beli dan jual asset crypto jadi mudah, simpel, dan nyaman. sayang dong dark.mode nya terlalu hitam legam. sakit dimata, musti ada lebih ruster.abu-abunya dong",5,POSITIF
"Aplikasi investasi crypto yang bagus untuk pemula, tapi untuk spread sama fee WD memang agak besar ya itu aja minusnya. Tapi tolong tambahkan lagi berbagai koin cryptonya agar lebih bervariasi dalam investasinya",5,POSITIF
Mantap aplikasinya,5,POSITIF
Susah berkembang lah bos. kalo kirim dan terima aset hanya ke sesama pengguna pintu. !!!!!,1,NEGATIF
Anjir guwe dah selesai kyc malah mau masuk ga bisa2..loding Mulu ga bisa2.tolong pihak pintu mohon saya diberi akses,1,NEGATIF
Is the best,5,POSITIF
t g,1,NEGATIF
Ok,5,POSITIF
"GK punya modal, tpi pintu bermasyarakat banget. Orang kaya aku ja bisa ikutan. Terima kasih pintu.",5,POSITIF
Payah...gak menguntungkan..padahl beli oas harga trun...gliran harga naik gak dot untung..,2,NEGATIF
Mantapp lah aplikasi nya,5,POSITIF
Mudah2an berjodoh.....aaammmiiiiinnnnnn......Wt lahiran.....,5,POSITIF
Belum bisa transfer ke wallet lain mohon di-update lagi kalau bisa saya tambahin 1 bintang lagi,4,POSITIF
Mantap nih aplikasi.. Kalo ada 10 bintang aku kasih dah,5,POSITIF
Thank pinfu,5,POSITIF
Mantap,5,POSITIF
Aplikasi anak bangsa yang patut diacungi jempol. Tidak kalah dengan aplikasi lain buatan luar. Yang belum download buruan download dong..... ayo... ayo... Terimakasih Pintu atas bonus-bonusnya🙏🙏 Semoga tambah sukses kedepannya👍👍👍👍👍,5,POSITIF
Sangat mmbantu 🥰,3,NEGATIF
Good,5,POSITIF
Mantapp,5,POSITIF
makasih untuk 1 PTU nya,5,POSITIF
Mantap..,4,POSITIF
BAPAR bagus parah pokoknya mah,5,POSITIF
Good,5,POSITIF
SEGERA LISTING KOIN SHIBA INU DONG. MASA KOIN SEMERIAH INI KOK DI PINTU GAK ADA! EMANG KALIAN KEMANA AJA,2,NEGATIF
"Buruan aktifkan pintu pakai referal 👉 @cakyono85 Langsung dapatkan bonus anda,,,",5,POSITIF
Manatap,4,POSITIF
Josss apknya... gasssss brooo,5,POSITIF
"Apk pintu,mudah di pahami buat pemula seperti saya,terimakasih pintu...semoga kedepannya bisa menjadi apk yg lebih baik lagi 🙏",5,POSITIF
"Tak banyak komentar, T O P. Jangan lupa klo daftar ini referalnya, TRACH458 pasti dapat bonus dari PINTU.",5,POSITIF
Solusi no hpe yg sudah tidak aktif dong email kga di bales bales.,5,POSITIF
Tolong lah penarikan ke rekening knpa ga masuk2 biasanya cpt .. cs ga ada yg respon di chat jg .. perbaiki dlu layanan baru bintang 5 lg,1,NEGATIF
Nice,5,POSITIF
Apk teraman dan terpercaya.. kerja simpel auto Sultan...,5,POSITIF
"mantap aplikasinya pencairan cepat rekomendasi cuman harus pandai melihat peluang investasi nya jos....,👉👌💪😁😎",5,POSITIF
"makase pintu so kase blajar pa torang, untuk kedepannya lebih baik lagi dan juga daftar mata uang crypto bisa di tambah lagi🙏👍👍👍",5,POSITIF
Mantap ⭐⭐⭐⭐⭐,5,POSITIF
Asli banyak bonusnya,5,POSITIF
Thanks udah kasih koin PTU ya Dev 😁😁,5,POSITIF
Mantap... Gooood,5,POSITIF
Ok,3,NEGATIF
"Aplikasi Mantap Buat Investor Crypto Pemula, Yang Belum Download Wajib Banget Download😁",5,POSITIF
Suka banget sama pintu,5,POSITIF
kenapa lama banget sih proses WD nya? aduhh,2,NEGATIF
Easy to use for keep a money,5,POSITIF
"aplikasi ribet, buka lemot, masuk susah, google authenticator invalid terus gimana sih lu bro, sebenernya bisa buat aplikasi gak sih, anjiirrr buang buang waktu bgsat",1,NEGATIF
"Kok saya mau log Dgn email sdh bener dan sandi pun uda bener tapi, gilaran uda masukin OTP malah di suruh nnggu 2 jam??? Woii itu cuma konfirmasi j loh kok lama bener... Terus tiap minta kode OTP bru tetap gt heran???!!!",1,NEGATIF
Bikin mudah,5,POSITIF
Mantapp,4,POSITIF
Di grup lagi rame reward PTU kenapa saya tidak dapat? Harus rata dong,1,NEGATIF
Mantap,5,POSITIF
Saya coba,5,POSITIF
sebenarnya bagus tapi yg kita mau bukan imbalan reward2.tapi perbanyak pilihan koin dan yg belum ada di market idx/tokcryp.pasti sy akan pindahkan asset sy ke pintu semua!!!!terimakasih dan jadilah ciri khas pembeda untuk munculkan koin baru,3,NEGATIF
"buat kalian akun nya bermasalah hati2 ,csnya selow respond",1,NEGATIF
Muda mudahan aman,5,POSITIF
Wah bagus ne aplikasi rekomendasi... Ayo bergabung !!! Referal saya @argame27,5,POSITIF
. Als,3,NEGATIF
Cs nya sangat slow respon dan tidak ramah sekali😡😡😡😡😡,1,NEGATIF
Ajg.grub gue pada dapet PTU..gua 3akun gak dapet ngehe.ganti aja pak nya ..jadi PINTU W.C UMUM,1,NEGATIF
Cara mudah berinvestasi... terima kasih,5,POSITIF
Maaf saya kasih bintang 1 karena btc saya ko masih kosong🙏🙏🙏,1,NEGATIF
Mantep,5,POSITIF
Mantap,5,POSITIF
Very Good,5,POSITIF
Mohon untuk aset crypto nya di tamban lagi donk min,4,POSITIF
Mantap ini aplikasi..cuan terus menerus,5,POSITIF
Tidak Ada Balasan Sama Sekali Sudah MengirimKan Pesan Beberapa Kali.. SATU KALI LAGI TOLONG DI BANTU. nomor saya sudah tidak aktif dan saya tidak bisa login ini bagaimna...TOLONG DI BANTU.,1,NEGATIF
💯,5,POSITIF
Mantap PTU coin,5,POSITIF
pintu memudahkan wong cilik belajar investasi crypto. josss,5,POSITIF
milik indonesia.,5,POSITIF
"Aplikasi, investasi terkeren. Buruan yg blm download, di jamin gk bkaln me'nyesal. Barangkali ada yg mau Msukin kode Sya. @mishugii.",5,POSITIF
Suka,5,POSITIF
Bagus,5,POSITIF
Banyak event top pintu,5,POSITIF
Good platform... For anyone,5,POSITIF
Mksh pintu terbaik,5,POSITIF
Pintu di jamin legal,5,POSITIF
BERHARAP CEPAT LISTING KOIN KOIN MICIN THANKS,5,POSITIF
Mantap,5,POSITIF
Luar biasa aplikasi ini👏,5,POSITIF
Pintu memang mantaaaaaaap,5,POSITIF
Penggunaan lama kenapa gak di kasih pintu gratis min,2,NEGATIF
Wow dapet airdrop ptu,5,POSITIF
Mantaappp,5,POSITIF
lain kali jangan mentenent yaa,5,POSITIF
Sangat kecewa Karana yang lain dapat saldo pintu gartis dan aku tidak dapat,1,NEGATIF
"Sangat rekomendasi aplikasi pintu,,mantapppp saya puas sekali download aplikasi pintu",5,POSITIF
Mantap,5,POSITIF
aplikasi of the year..🎉🎉🎉,5,POSITIF
Kode GAuth hilang 🗿🗿🗿 ribet kirim email @helpPintuID Impossible!,1,NEGATIF
Makasih PTU sudah memfasilitasi kami didunia perdagangan internasional,5,POSITIF
Good,5,POSITIF
"Lebih simple dan mudah ,fee nya jg kecil Makasih pintu",5,POSITIF
Dikasih 1 token ptu makasih wkwkw,4,POSITIF
Seneng banget pintu ngasih event terus moga di banyakin promo event nya,5,POSITIF
Mantap Pintu,5,POSITIF
"Terbaik , bakal jadi jagoan ku nih",5,POSITIF
Semoga PTU nya meluncur naik,5,POSITIF
"Loading banget ya ni apk, gak niat buat di perbaiki gitu trs gk lengkap lagi.",3,NEGATIF
Aplikasi PHP katanya nanti tgl 25 semua yg daftar sebelum tgl 21 bakalan dapet 1 PTU kok aku gk dapet ya.. ini gmana min???,5,POSITIF
Good,5,POSITIF
Mantap,5,POSITIF
Alhamdulillah lancar,5,POSITIF
Lanjutkan terus karya mu Apk Pintu,5,POSITIF
MNTAPP,5,POSITIF
👍👍👍,4,POSITIF
Semoga semakin terus berkembang,5,POSITIF
Sejak di update kemaren jadi sering logout minta koda pin terus. Mohon diperbaiki,2,NEGATIF
Penipuan,1,NEGATIF
Mantap,5,POSITIF
Mantap,5,POSITIF
Mantap dapat 1 token PTU,5,POSITIF
Jooozzzzzz.... Kereeeeennn.... Semoga selalu berjaya...ada bonus ny loch...,5,POSITIF
Investasi paling baik..banyak hadiah,5,POSITIF
GG geming,5,POSITIF
"Cukup lama menggunakan aplikasi ini,,dan rekomendasi bgt buat pemula krna aplikasinya mudah d pahami dan ga ribet😉gunakan aja my refral @xvogamiing663 langsung dapat bonus hingga 1jt an👍",5,POSITIF
Buset pake otp sekarang mana nomor hpnya udah lama ilang,3,NEGATIF
Untuk koin PTU yang baru di rilis itu ada pembagian hasil keuntungan maksudnya gimana ya?,5,POSITIF
"Suka banget sama ini aplikasi,mudah dipahami,simple dan tiba"" dikasih kejutan pagi hari 😁 dikasih 1PTU .terimakasih Pintu🙏",5,POSITIF
Ok,5,POSITIF
sangat sangat memuaskan,5,POSITIF
Sistem kerjanya bagus Lebih ditingkatkan lagi,5,POSITIF
Good,5,POSITIF
Awalnya gw bangga punya exchanger anak bangsa tapi setelah gw lihat2 dan coba trading kok kaya main2 yach...harga limit atas bawah gak ada....tolong di perbaiki dan kiriman BNB kawan saya sampai sekarang sudah 6 hari belum nongol di pintu padahal transaksi sudah conform dan suksess CS nya juga gak ada respon. Gw sebenarnya bangga sama aplikasi pintu cuma jangan malu2in kedepannya bakal banyak yg menggunakan....maju terus PINTu,4,POSITIF
"Tolong pintu tambahkan fitur staking crypto axs, karena bunganya sangat tinggi, jangan seperti marketplace t**v, bilangnya gratis biaya staking tau""nya ambil keuntungan 10% dari bunga aslinya, bunga staking asli adalah 113% tetapi di marketplacenya hanya 103%. Saya kasih bintang 5 supaya di notice.",5,POSITIF
Mantap dapet bitcoin gratis,5,POSITIF
"mau tanya kenapa ya dari tgl 26 nvember setiap mau login harus pakai kode otp terus...nggak bisa login otomatis ,,biasanya login cuma pakai pin saja,,mohon bantuannya",3,NEGATIF
Oke,5,POSITIF
Pakai kode referal ini yu kita sukses bersama @orangsukses,5,POSITIF
Cukup untuk saya,5,POSITIF
"Bisnis jual beli aset paling mudah dan menjanjikan keuntungan , Aplilasi ini sangat cocok untuk menambah penghasilan disaat pandemi dan kapansaja, karena bisa dikerjakan dirumah atau dimanasaja,",5,POSITIF
"Akun ku verified, tk kasih *5",5,POSITIF
"Aplikasinya mudah dipahami , good pintu @syaifulb1975",5,POSITIF
Mantaap,4,POSITIF
Woke,4,POSITIF
Top,5,POSITIF
"Sangat membatu bagi trader Pemula😎, Thankyou PTU",5,POSITIF
Top,5,POSITIF
Aplikasi yang simpel,5,POSITIF
Sudah lama dan sudah berkali2 gagal terus deposit dr pintu ke binance. Ujungnya ditarik lagi ke rekening bank. Buang2 fee transfer doang!!,1,NEGATIF
Mantap lahh pokoknya,5,POSITIF
Puas,4,POSITIF
😍👍,5,POSITIF
the best spot scalping trading ever 😃,5,POSITIF
bagus aplikasinya,5,POSITIF
Mantap,5,POSITIF
Good,4,POSITIF
"aplikasi parah, ga bisa setting harga jual dan beli seperti aplikasi serupa, harga ditentukan aplikasi, parah",1,NEGATIF
tambah fitur QRIS pasti makin joss,4,POSITIF
Ok,5,POSITIF
Pake kode ini untuk dapatkan 0.04% @nasigoreng,5,POSITIF
Kasih bintang 5,5,POSITIF
nanti akan aq tambah bintang nya,3,NEGATIF
Masih coba coba semoga bagus dampakx.,5,POSITIF
"Kalau profit susah ditarik,giliran CL mudah, sangat merugikan trader",5,POSITIF
"Makin ke sini ko sulit buat jual beli selalu terkendala ""harga telah berubah masukan ulang nominal anda""",1,NEGATIF
Mantap Semua terus berkembang dengan inovasi terbaru..,5,POSITIF
Aplikasi nya sangat bagus dan simpel,5,POSITIF
Aplikasinya bagus baget!!!!!!!!!!!!!!!!!!!!!!!! Masukan Kode@kodemenarik untuk mendapatkan keuntungan lebih✨,5,POSITIF
"Kirim BNB dari pintu apps kepada BNB Trust wallet, Fee nya sampe 45k, Sangat beda jauh dengan aplikasi sebelah yang lebih murah. 👎👎👎",1,NEGATIF
"Selisih harga tengah, esetimasi harga dan harga final selisihnya jauh bgt,, misalnya beli bitcoin yang harga tengahnya 789jt esetimasi harga berubah jadi 791jt terus harga finalnya berubah jadi 794jt, jauh bgt selisihnya",2,NEGATIF
Mantab bos,5,POSITIF
"token baru aja rilis uda buat hancur wkwk Dasar token lokal token abal"" 😂",1,NEGATIF
Bagus dan sangat mudah,4,POSITIF
kecewa dengan PTU yang lounching tapi harga buruk harusnya karena baru lounching ada promo atau harga meroket ini malah harga longsor sampe bawah,1,NEGATIF
"Kalau ada yang membutuhkan bantuan langsung di tanggapi,jangan setengah setengah,nomor sudah tidak aktif ingin ganti harus banyak persyaratan,pas persyaratan sudah di penuhi sudah di kirim tidak ada balasan,gimana bisa masuk lagi ke akun PINTU!!!Sampai sekarang hasilnya nihil kalau tetap tidak bisa masuk ke akun terpaksa hapus Aplikasinya dan pindah ke TokoCrypto.",1,NEGATIF
Banyak dikembangkan lagi dan koin/ token diperbanyak,5,POSITIF
Sudah terverfikasi... udah bisa transaksi Koq minta verfikasi lagi.... hhm jadi bingung😇😇😇,3,NEGATIF
Mudah mudahan menjadi berkah untuk sememua penggunanya aamiiin...,5,POSITIF
Saya sangan rekomendasikan aplikasi pintu.. semua sistem sangat mudah pokok nya mantaaaaaaaaaaaaaaaaaaappppp,5,POSITIF
Aku baru aku kasi tiga bintang,3,NEGATIF
"Apa""an token sendiri langsung ngedrop nyangkut smua . Nyesel join di PINTU . launching token sendiri paling akhir pas harga dah naik baru bisa beli",1,NEGATIF
Segini dulu,3,NEGATIF
"fee kirim cryptonya mahal, chat supportnya tidak tanggap, nyeselah intinya",1,NEGATIF
uksmk2,5,POSITIF
Coin sesat,1,NEGATIF
Mantap,5,POSITIF
Nice,5,POSITIF
Koin sampah!,1,NEGATIF
Good,5,POSITIF
Hemm token ptu drastis turun kok listing di aplikasi sebelah duluan,1,NEGATIF
Sangat puas menggunakan aplikasi pintu,5,POSITIF
Sering eror,3,NEGATIF
"Terkadang masih terdapat bug, sehingga transaksi jual/beli tidak lancar, dan proses penarikan dana ke rekening sering terjadi masalah.",1,NEGATIF
Aplikasi ini sangat bagus dan mudah di gunakan untuk para pemula dan kita tinggal beli coin yang kita inginkan dengan cepat metode pembayaran pun sangat sederhana di bank besar untuk keamanan sangat canggih dengan teknologi privat key dan aman sudah terawasi oleh Ojk dan kominfo.,5,POSITIF
Mantullll,5,POSITIF
"App nya mantap mudah di pahami bagi pemula seperti saya,,dan lebih kerennya lagi ad crypto baru yang mana namanya PTU ,,pokonya jos jos",5,POSITIF
Ok,5,POSITIF
Good,5,POSITIF
Salam cuan sahabat,5,POSITIF
Oke,5,POSITIF
Gud,5,POSITIF
Oke,5,POSITIF
Menurut saya kurang pas dalam penjualan nya,4,POSITIF
"Cok gblg amat penarikan di permasalahkan , awal awal bisa ko . lah sekarang malah beda nama . beda penempatan doang . mana saya bank BCA dia bilang bank mandiri syariah . LAWAK",1,NEGATIF
Bagusssssssssssss,5,POSITIF
👍,5,POSITIF
Aplikasinya gampang. Banyakin promo ajaa..,5,POSITIF
ok token indo yang gw nanti dah sampe,5,POSITIF
Blum bisa tarik ke akun dana atau ovo klo sdh bisa ksi bintang 5,3,NEGATIF
Saya mau mengajukan permohonan penggantian nomor hp karena nomor hp di akun saya . Sama nomor hp di ewallet saya berbeda. Proses nya ribet sekali. Harusnya dipermudah,1,NEGATIF
"Mikir seribu kali invest disini, ditanya asal usul acuan harga nya gak dijawab,,",1,NEGATIF
mantap,5,POSITIF
Bermanfaat bgttttt,5,POSITIF
Sudah bisa verifikasi..terima kasih,5,POSITIF
App nya bagus dan mantap buat pemula,5,POSITIF
"Semoga kedepannya lebih bagus,karna saya akan pakai aplikasi ini dalam jangka yg panjang/lama",5,POSITIF
Untung...,5,POSITIF
OTP Tidak pernah Dikirim -_- 😡😡😡😠😠,2,NEGATIF
"Sukses untuk semua, sehat selalu... biar selalu cuan cuan.... cuan",5,POSITIF
Mudah mudahan amanah,5,POSITIF
Wah ini mantab gan bagi pemula transaksi sangat mudah transfer trading oke segera instal pakai referal @sukemi1107264,5,POSITIF
Akurat dan terpercaya,4,POSITIF
4 star dlu. Klo sdh dpt 1 milyar tmbh 5 star 🌟 😁😁,4,POSITIF
Aplikasinya mudah dipakai dan banyak menunya. Bisa pakai referal @pakaipintu untuk dapat bonusnya.,5,POSITIF
"ngetik pin nya agak ngelag jadi harus 2x ketik, nggak kaya ovo tektektektek",5,POSITIF
"Apk nya bagus ,mudah di pelajari dan semoga bisa investasi dengan baik dari aplikasi ini ,.",5,POSITIF
Pintu semakin di depan..,5,POSITIF
Dapat bonus pakai kode reff [ @flix ] ini biar masuk,4,POSITIF
"Ga ribet, mantap dh",5,POSITIF
Tolong beberapa bug diperbaiki,1,NEGATIF
Sementara masih nyaman untuk pengguna baru kayak saya,5,POSITIF
"Gak bisa order buy/ sell dengan angka yang kita patok, gak cocok buat trading, cocoknya buat investasi",2,NEGATIF
Klo koin lagi naik susah dijual,1,NEGATIF
Aplikasi bintang 5 👍👍👍👍👍,5,POSITIF
Apps yg friendly,5,POSITIF
Versi baru grafik malah susah dibaca lebih enak dibaca dan dimengerti versi lamanya.... ribet ☹️,1,NEGATIF
mantap,5,POSITIF
Sangat membantu kondisi uang saya.,5,POSITIF
Good,5,POSITIF
Mantap,5,POSITIF
"Aplikasi bagus, mudah-mudahan koinnya bertambah banyak",5,POSITIF
Mantap.!!!,5,POSITIF
Good,5,POSITIF
Pintu aplikasi legal,5,POSITIF
sukses selalu pintu.id🎉🎉🎉,5,POSITIF
Baguss,5,POSITIF
pintu yang terbaik dah pokoknya...😊😀😎,5,POSITIF
"Aplikasi bagus, sangat mudah d gunakan.. Mudah""an ada rezekinya",5,POSITIF
Kode referral biar sama sama dapet bonus @firdausthoriq,5,POSITIF
Good forefer,5,POSITIF
Lemot,5,POSITIF
Bintang 5 kalo ada limit order sma wd ewalet,3,NEGATIF
"Bagus ini,banyak ilmu baru",5,POSITIF
Bagussasa bangetttt,5,POSITIF
"Pintu sangat membantu banget,karna aplikasinya mudah bgt buat pemula kayak aku.....trimakasih",5,POSITIF
Harga beli dan jual tidak sesuai jauh melampaui pasar harga,1,NEGATIF
Wah oke banget lah,5,POSITIF
Mantap,5,POSITIF
"Keren aplikasi ini, proses mudah dan cepat",5,POSITIF
Mantap,5,POSITIF
Good yaw,5,POSITIF
5 star,5,POSITIF
Saya suka ini,5,POSITIF
"Serba lama, ga kaya apk crypto lain.Customer service nya juga kurang, ga recommend deh ni apk.",1,NEGATIF
Aplikasi pintu memang baik,5,POSITIF
Good,5,POSITIF
Tolong ya aplikasiny diperbaiki ini lemot banget,1,NEGATIF
mantaaaP,5,POSITIF
Mantap List Coinnya banyakin dong,5,POSITIF
telat serok ptu gara2 GK ada notif,1,NEGATIF
"Token PTU di jual udah mahal mau beli eror,udah kebeli anjlok gua kasih bitang 1",1,NEGATIF
Mantap dech..... Punya modal mau depo lgi yg gede hehe,5,POSITIF
Aplikasi sering keluar sendiri,3,NEGATIF
"Gampang buat pemula,fee wd paling murah,,top lah pintu😍",5,POSITIF
Ngeri harga ptu🤣 udah pemula rugi lagi🥺🤣,1,NEGATIF
"buat token,cuma ambil keuntungan sendiri doang,komunitasnya mewek",1,NEGATIF
Hallo pintu... kenapa deposit saya gak masuk... tolong yah... di chat juga gak ada balasan... tolong di baca ini,5,POSITIF
"Apk sampah. Tidak mempriotaskan pemakenya sendiri, padaha ada yg sudah dr lama , kecewa tokennya malah rilis di tempat lain. Di pintu sendiri waktu harga sudah tinggi baru ada PTU . Kecewa sih malah nyangkut pulak",1,NEGATIF
Baik,2,NEGATIF
fitur selfie benerin biar bisa focus masa ga support focus nya,5,POSITIF
@bayumadona,5,POSITIF
Mantap bnerrrrrr,5,POSITIF
"Kemarin katanya jika PTU token sudah listing, setiap user yg berhasil kyc akan mendapatkan token tersebut, kok ini blm ada dapat ?? Padahal saya pengguna lama",4,POSITIF
"Sengaja bintangnya saya turunin ya, sbb pintunya makin mengecewakan.",1,NEGATIF
Aplikasi jelekkk sering eror.. maintanance melulu.. tradingnya jga mahal beli sudah naik kemudian wktu akan dikonfirmasi naik lgi.. Auto kena 2 kali.. parahhhhh.... bnyk korupsinya...,1,NEGATIF
"Anu koneksi putus harusnya jangan login kode terus, kemudian juga untuk deposit ke bni yang terkendala pada tadi malam bukti transfer sudah di kirim mohon infonya",5,POSITIF
Pintu mantab,5,POSITIF
"Nyesel make ni apk, udh deposit 500k tpi gamasuk, galagi lagi dah kecewa !!, Hati hati buat para pemula yaaa",1,NEGATIF
"Launching ptu yg tdk di siapkan oleh pintu, ujung2nya merugikan byk org, ngeLag terus, knp gak sejak awal listing di pintu juga ? Apa yg di takutkan ?",1,NEGATIF
Tolong di naekin lgi token ptu ak rugi gede nih plisss,1,NEGATIF
good luck,5,POSITIF
"ORANG COMPLAIN ITU LANGSUNG DI SELESAIKAN, DEPOSIT 3 JAM BELOM MASUK2,DI CHAT MALAH SURU NUNGGU 1X24 JAM, GA COCOK BUAT INVEST,LEMOOOOT.",1,NEGATIF
Di tuunggu coin PTU gratis min,5,POSITIF
Sedih cok . Token pintu naiik pas gua beli turun besar .. mengecewakan hihihihi,3,NEGATIF
Jangan lupa pakai kode refferal : fathul,5,POSITIF
"Lama sekali deposit nya, mau transaksi jadi terhambat tolong ditingkatkan lagi sistem nya baru saya akan menaikan bintang!",2,NEGATIF
Kerren,5,POSITIF
"Njir kocak exchanger macam apa kayak gini gak bisa liat aktivitas market, gak bisa liat limite order buy/sell gak ada pilihan pasang harga limite buat beli/jual se jelek"" nya market lokal indodax sama TKO masih parahan ini fitur nya untung belom daftar baru buka apk nya aja udah bikin ngakak.",1,NEGATIF
"Aplikasi pintu ngeluarin token ptu. Tp ko listing dluan di market lain? Harganyapun pas di aplikasi pintu udah mahal, heran",2,NEGATIF
Aplikasi yang bagus dan sangat update. Untuk pengembangan selanjutnya semoga lebih baik lagi. Salam hangat indonesia,5,POSITIF
Semoga bermanfaat dan berkah,5,POSITIF
"Deposit ga masuk sedamgkan saldo saya sudah berkurang,harus hati"" kalian semua",1,NEGATIF
"Bagus & gak ribet aplikasinya. Cuma saran saya tolong di tambahkan lagi jenis crypto lainnya & alat bantu untuk bisa menganalisa pergerakan harga setiap koin. Oh iya, terimakasih jg sudah menghadirkan Pintu Token d aplikasinya. Semoga kedepan Pintu & penggemar setia aplikasi pintu meraih sukses bersama. PT. PINTU KEMANA SAJA. Kemana saja bisa sukses asal lewat pintu, hehe..",5,POSITIF
CS nya LEMOT,1,NEGATIF
Oke,5,POSITIF
"Makin hari makin lambat nih aplikasi ya, deposit dari tadi sampai skrg blm masuk, payah",1,NEGATIF
"sangat mudah bertransaksi,untuk kekurangannya tolong ditambahkan untuk rekening BCA supaya mempermudah untuk transaksi depo dan penarikan,tolong untuk di perhatikan dari pihak pintu thank...",5,POSITIF
"Sangat simple,mudah digunakan",5,POSITIF
Akun saya gk bisa d verifikasi...gmn caranya,1,NEGATIF
Mantap,5,POSITIF
App lawak list koin sendiri usernya di anak tirikan liat aja pintu bakal bnyak yg kecewa lo liat aja di sosmed ig lo pintu udah rame ngehujat,1,NEGATIF
Admin nya anjg,1,NEGATIF
"Agak kecewa dengan ketidaksiapan dalam menahan lonjakan pengguna, ngeluarin tokennya aja tapi belinya cuman bisa di tempat lain",2,NEGATIF
Mudahan biss,5,POSITIF
"Buat apa bikin market PTU,KLO GX BISA DIBELI...",1,NEGATIF
"Nyesel pake ini,dlu dluan mau beli pintu eror terus...alhasil harganya udah naik Parah baru bisa beli...parahhh,tau gini ga pake pintu",1,NEGATIF
Apk gk jelas lu. Launching token bilang jam set8 taunya jam 7 udh di listing,1,NEGATIF
Sangat kecewa sekali dengan pelayanan pintu. Pas token PTU keluar malah gak bisa di beli. Aku hapus aja,1,NEGATIF
"Anjg gak adil banget coin lokal tapi lebih mentingin listing di luar dari pada aplikasinya sendiri, kecewa sama pintu",1,NEGATIF
"Aplikasi yang bikin sakit hati, mending pake Binance deh ke mana-mana... Jauh bro bedanya....",1,NEGATIF
Pinter bet lu,1,NEGATIF
"Apk ampas,",1,NEGATIF
"Listing d tempat lain 🙃, gw tf bnb ke pintu gak masuk masuk admin susah d hubungin juga hati2 yg mau deposit lewat crypto",1,NEGATIF
Kaga bisa dibeli coin pintu 😡😡😡😡😡😡😡 kecewa kami,1,NEGATIF
Ada error saat realese toke PTU,3,NEGATIF
"Payah, tokennya sendiri listingnya di exchane lain Dulu, para pengguna pintu mau di kasih harga atas?",1,NEGATIF
GA NGOTAK HARGA PTU LISTING LANGSUNG 26K KATANYA GA ADA MAINTENANCE TAPI MAINTENANCE!!!! PTU SCAM!!!!!!,1,NEGATIF
"Payah, koin nya koin pintu tpi listingnya di exchange lain, cibaduyut",1,NEGATIF
Error,1,NEGATIF
Sangat Membantu,3,NEGATIF
Bagus...bermaanfaat,5,POSITIF
Top aja,4,POSITIF
"Bug parah, grafik turun sampe ribuan persen",1,NEGATIF
Semoga bermanfaat,4,POSITIF
"Lemot parah, nominal angkanya gk gerak agresif alhasil gk tepat sasaran ketika beli dan jual...apk investasi model apaan kaya gini...buruk sangat 👎...",1,NEGATIF
"aplikasi yg simple. tampilan menu lengkap dan mudah dipahami.. Yang paling penting proses penarikan dana sangat cepat, tidak sampai 5 menit sudah masuk rekening. Yg mau download bisa pake kode referral : ""@anjbyan"" ya..biar saling menguntungkan..😊😊",5,POSITIF
"Buat versi web bang, biar bisa pantau lewat pc 😇, masukin referal @fjrx2000431 biar dapet chasback",5,POSITIF
"Cpet, aman, dan mudah",5,POSITIF
Good,5,POSITIF
Joss gandos,5,POSITIF
tks,5,POSITIF
Simple,5,POSITIF
"Good apss lah meskipun spreadnya gede tapi tetep cuan, tengsss pintu lup bgt😍😍",5,POSITIF
Kenapa BNB saya tidak masuk saya telah mengirim BNB ke PINTU Chat suport tidak ada jawaban,5,POSITIF
Yuk yang belom kita saling gunakan kode reff biar dapet keuntungan 0.004 % setiap transaksi. Daftar sekarang dan pake kode reff saya dijamin mantul Ini kodenya @gitgitmiko Makasihhh,5,POSITIF
Blm coba,5,POSITIF
Nice exchange 🐉,5,POSITIF
Josss,5,POSITIF
"Referral : @rizkhon13 Yang mau pake referral saya, saya doakan dpt cuan Mantap aplikasi nya. Tampilan joss enak buat pemula.",5,POSITIF
"Pintu memang apk simple, sederhana, sebodohnya orang kalau sudah pakai apk ini dia pasti akan mengerti juga.",5,POSITIF
Mudah menggunakan aplikasinya,5,POSITIF
"Ada kendala log in kmbali, kirim pesan minta bantuan k Gmail help@pintu ga di bales, di ig pun sama ga di balas",2,NEGATIF
"yang baru download wajib pake refferal gua nih ""faridzart"" ,langsung dapet bonus saldo🔥🔥 aku untung kamu juga untung ,gasss",5,POSITIF
